rule_id,adulterant,vision_signal,aroma_signal,taste_signal,pattern_type,confidence_delta,severity,explanation,recommended_action
CRL-001,Water Dilution,translucent,flat_profile,low_sweetness,convergent,20,high,All three modalities confirm dilution,Flag batch
CRL-002,Water Dilution,authentic,flat_profile,low_sweetness,partial,8,medium,Taste + aroma suggest dilution; visual inconclusive,Monitor
CRL-003,Detergent,frothy_bluish,chemical_spike,high_bitterness,convergent,22,high,Strong tri-modal detergent signature,Flag batch. High confidence adulteration detected.
CRL-004,Detergent,authentic,chemical_spike,high_bitterness,partial,10,medium,Chemical aroma + taste agree; no visual froth yet,Monitor
CRL-005,Detergent,frothy_bluish,authentic,authentic,contradiction,-12,low,Visual froth not supported by aroma/taste — possible foam from agitation,Review
CRL-006,Urea,yellowish,ammonia_spike,high_bitterness,convergent,18,high,Classic urea tri-modal pattern,Flag batch
CRL-007,Urea,authentic,ammonia_spike,authentic,masked,-8,low,Aroma alone suggests urea; other modalities clean — possible masking,Escalate to lab
CRL-008,Starch,particulates_yellow,flat_profile,high_viscosity,convergent,15,high,Starch confirmed visually and by taste texture,Flag batch
CRL-009,Starch,authentic,flat_profile,high_viscosity,partial,6,medium,Viscosity anomaly in taste; no visual or aroma confirmation,Monitor
CRL-010,Formalin,authentic,preservative_spike,high_astringency,convergent,17,high,Formalin has no visual signature — aroma + taste agreement is primary,Flag batch
CRL-011,Formalin,authentic,preservative_spike,authentic,masked,-5,low,Aroma suggests formalin; taste not confirming — low confidence,Monitor
CRL-012,Skimmed Powder,pale_color,flat_profile,low_fat_low_sweetness,convergent,14,high,Tri-modal fat reduction pattern,Flag batch
CRL-013,Multiple,frothy_bluish,ammonia_spike,high_bitterness_astringency,multi_adulterant,-5,high,Mixed signals suggest possible multiple adulterants,Escalate to lab
CRL-014,Unknown,anomalous,anomalous,anomalous,unknown_pattern,-15,high,All modalities flagging abnormal but no matching rule,Escalate to lab
CRL-015,Authentic,authentic,authentic,authentic,clean,25,low,Full tri-modal clean signature,Release batch
